Wikidata URI,English Label,English Description,Canadian English Label,Canadian English Description,French Label,French Description,sex or gender (P21),country of citizenship (P27),family name (P734),given name (P735),date of birth (P569),place of birth (P19),occupation (P106),ethnic group (P172),VIAF ID (P214),ULAN ID (P245),Artists in Canada record number (P5239),National Gallery of Canada artist ID (P5368)
http://www.wikidata.org/entity/Q50426413,Barry Ace,Indigenous artist of North America,Barry Ace,Indigenous artist of North America,Barry Ace,Artiste autochtone d'Amérique du Nord,https://www.wikidata.org/wiki/Q6581097,https://www.wikidata.org/wiki/Q16,https://www.wikidata.org/wiki/Q16001586,https://www.wikidata.org/wiki/Q808995,1958,https://www.wikidata.org/wiki/Q383434,https://www.wikidata.org/wiki/Q6934789,https://www.wikidata.org/wiki/Q1956640,71338739,500487430,49213,barry-ace
,Joi T Arcand,,,,,,,,,,,,,,,,,
,Shuvinai Ashoona,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q55219138,Pierre Aupilardjuk,"born 1965, lives Rankin Inlet, Nunavut; artist",Pierre Aupilardjuk,-,Pierre Aupilardjuk,Artiste autochtone d'Amérique du Nord,https://www.wikidata.org/wiki/Q6581097,https://www.wikidata.org/wiki/Q16,instance needed,https://www.wikidata.org/wiki/Q2093070,1965,-,https://www.wikidata.org/wiki/Q1281618,https://www.wikidata.org/wiki/Q189975,instance needed,instance needed,instance needed,pierre-aupilardjuk
,Christi Belcourt,,,,,,,,,,,,,,,,,
,Michael Belmore,,,,,,,,,,,,,,,,,
,Rebecca Belmore,,,,,,,,,,,,,,,,,
,Jordan Bennett,,,,,,,,,,,,,,,,,
,Catherine Blackburn,,,,,,,,,,,,,,,,,
,Dempsey Bob,,,,,,,,,,,,,,,,,
,Bob Boyer,,,,,,,,,,,,,,,,,
,Hannah Claus,,,,,,,,,,,,,,,,,
,Ruth Cuthand,,,,,,,,,,,,,,,,,
,Thirza Cuthand,,,,,,,,,,,,,,,,,
,Dayna Danger,,,,,,,,,,,,,,,,,
,Beau Dick,,,,,,,,,,,,,,,,,
,Jeneen Frei Njootli,,,,,,,,,,,,,,,,,
,Faye HeavyShield,,,,,,,,,,,,,,,,,
,Robert Houle,,,,,,,,,,,,,,,,,
,Terrance Houle,,,,,,,,,,,,,,,,,
,Maria Hupfield,,,,,,,,,,,,,,,,,
,Ursula Johnson,,,,,,,,,,,,,,,,,
,Brian Jungen,,,,,,,,,,,,,,,,,
,Ruben Komangapik,,,,,,,,,,,,,,,,,
,Meryl McMaster,,,,,,,,,,,,,,,,,
,Kent Monkman,,,,,,,,,,,,,,,,,
,Peter Morin,,,,,,,,,,,,,,,,,
,Marianne Nicolson,,,,,,,,,,,,,,,,,
,Skeena Reece,,,,,,,,,,,,,,,,,
,Nicotye Samayualie,,,,,,,,,,,,,,,,,
,Henry Speck,,,,,,,,,,,,,,,,,
,Ningiukulu Teevee,,,,,,,,,,,,,,,,,
,Jeffery Thomas,,,,,,,,,,,,,,,,,
,Joseph Tisiga,,,,,,,,,,,,,,,,,
,Lawrence Paul Yuxweluptun,,,,,,,,,,,,,,,,,
